A1_Nquest,DIAENTR,MESENTR,ANOENTR,D1A_ID,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,RAMOATIV,RAMOCHEFEF,OCUPA,UF,CID,REG,Q1,Q2,Q3,Q401,Q402,Q403,Q404,Q405,Q406,Q407,Q501,Q502,Q503,Q504,Q505,Q601,Q602,Q603,Q604,Q7,Q8,Q9,Q10A,Q10B,Q11,Q12P1_A,Q12P1_B,Q12P2_A,Q12P2_B,Q12G_1A,Q12G_2,Q12S1,Q12S2,Q12CD,Q12CD_recode,Q12AL,Q12AL_recode,Q13A,Q13B,Q13B_2,Q13B2A,Q13G1,Q13G2,Q13S,Q13CD,Q13CD_recode,Q13AL,Q13AL_recode,Q14A,Q14B,Q1501,Q1502,Q1503,Q1504,Q1505,Q1506,Q1507,Q1508,Q1509,Q1510,Q1511,Q1512,Q1513,Q1514,Q1515,Q1516,Q1517,Q1518,Q1519,Q1520,Q1521,Q1522,Q1523,Q1524,Q1525,Q1526,Q1601,Q1602,Q1603,Q1604,Q1605,Q1606,Q1607,Q1608,Q1609,Q1610,Q1611,Q1612,Q1613,Q1614,Q1615,Q1616,Q1617,Q1618,Q1619,Q1620,Q1621,Q1701,Q1702,Q1703,Q1704,Q1705,Q1706,Q1707,Q1708,Q1709,Q1710,Q1711,Q1712,Q1713,Q1714,Q1715,Q1716,Q1717,Q1718,Q1719,Q1720,Q1721,Q1722,Q1723,Q1724,Q1725,Q1726,Q18,Q21,Q22A,Q22B,Q22C,Q22D,P1,P1A,D5_1,D5_2,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P301,P302,P303,P304,P305,P306,P307,P308,P309,P310,P311,P312,P401,P402,P403,P404,P405,P406,P407,P408,P409,P410,P411,P412,P5,P601,P602,P603,P604,P605,P606,P607,P608,P609,P610,P611,P612,P613,P614,P615,P616,P7_aberta_agregada,P8,P9,P1001,P1002,P1003,P1004,P1101,P1102,P1103,P1104,P1105,P12,P13_aberta_agregada,P14A,P14B,P15,P1601,P1602,P1603,P1604,P1605,P1606,P1607,P1608,P1609,P1610,P1611,P1701,P1702,P1703,P1704,P1705,P1706,P1707,P1708,P1709,P1710,P1711,P1712,P1713,P18,P19,P20,P2101,P2102,P2103,P2104,P2105,P2106,P22,P24,P25,P26,P27,P28,P28A,P28B,P29,P30,D4,D7,D8,D8A,D6,D9,D9A,D9B_FAIXA_RENDAF,D11,D10,D10A,D12,D12A,D14,D15,D16,D20,DIAANIVER,MESANIVER,ANOANIVER,A3
111,22,11,2018,16,1,1,4,10,99,4,15,7,1,3,3,2,5,2,4,2,4,2,1,4,4,4,2,5,1,2,2,4,2,4,5,5,99,5,3,99,3,99,9999,9999,9999,9999,9999,999,9999,999,3,99,3,99,9999,9999,9999,9999,999,9999,999,5,5,5,4,96,96,5,96,96,96,96,96,96,4,96,5,96,96,3,96,96,96,3,3,2,96,96,2,3,96,1,2,6,4,3,3,96,5,96,96,96,96,96,96,3,0,96,96,0,2,96,98,96,8,96,96,3,96,96,96,7,96,4,96,96,2,96,96,8,96,96,96,96,96,96,3,5,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,5,2,2,5,1,2,1,3,1,3,3,3,2,2,3,2,1,1,1,0,0,2,4,4,2,4,3,2,1,2,1,6,3,3,2,998,1,1,1,2,2,5,2,2,1,2,2,1,10,2,99,2,10,7,8,8,8,6,7,6,8,8,10,5,1,1,1,2,1,1,4,4,4,2,4,4,2,1,1,5,5,5,5,5,2,1,1,2,1,12,2,3,999,1,1,3,11,9999,999,999,9999998,2,2,3,3,9999,8,2,1,2,1,6,10,8,2002,1
112,22,11,2018,20,2,1,3,4,99,1,15,7,1,1,1,2,2,1,4,1,4,1,2,2,2,1,4,2,1,2,1,1,1,2,5,5,99,2,5,99,4,99,9999,9999,9999,9999,9999,999,9999,999,5,99,5,99,9999,9999,9999,9999,999,9999,999,2,4,8,2,10,96,7,5,96,5,4,2,96,8,96,8,2,6,96,96,7,4,5,9,6,96,3,96,6,6,96,6,3,2,1,9,5,8,5,5,96,9,96,2,9,0,4,2,0,8,4,2,96,6,96,96,8,2,96,96,8,5,6,9,96,9,96,96,5,96,5,6,3,96,96,5,2,2,1,13,2,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,6,6,5,2,1,3,1,2,3,3,2,4,2,3,2,3,1,1,6,2,5,2,4,2,5,5,8,0,3,4,7,4,6,8,998,2,2,1,1,2,2,1,4,2,4,4,1,10,99,1,2,8,8,6,8,4,5,3,5,5,7,4,4,1,5,5,1,5,2,5,5,2,1,4,1,2,1,1,5,5,4,4,4,2,1,2,1,4,4,2,5,999,1,1,3,2,2,3,1,2000,999,3,2,5,7,5,2,1,2,1,4,26,8,1998,1
113,15,11,2018,38,4,1,4,1,99,3,15,8,1,2,1,1,1,1,4,1,2,1,2,1,5,1,5,1,1,1,1,8,4,2,5,5,99,5,1,9,1,2,1503,1503,1507,9998,945,2,9998,3,1,98,98,99,1506,9999,9998,959,3,9998,3,5,5,4,7,9,6,10,1,3,0,96,2,96,6,8,8,2,3,9,8,2,3,1,96,0,1,4,1,2,96,96,96,10,7,10,6,96,9,96,0,96,96,96,96,96,0,96,96,9,9,6,8,7,10,96,2,96,96,96,96,2,96,0,9,96,7,96,96,2,2,96,6,96,96,96,10,1,2,2,99,99,2,999,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,3,1,3,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,4,0,10,10,10,10,10,10,998,1,1,1,1,1,1,1,4,1,1,1,1,15,4,99,2,10,10,10,10,1,10,10,10,10,10,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,2,9,1,7,5,99,2,6,999,1,1,3,3,5,1,2,2000,999,3,2,3,9999,8,2,1,2,1,6,5,11,1980,2
114,15,11,2018,77,7,1,2,1,99,3,15,8,1,2,1,4,5,5,1,1,2,5,5,5,1,1,1,5,1,2,1,1,1,1,5,5,99,2,1,5,1,1,1503,1503,1514,1514,946,1,9998,3,1,2,1,2,9998,1505,1508,115,1,2090,3,5,5,10,6,6,1,2,3,4,96,96,96,96,6,96,6,96,5,6,96,3,2,4,5,4,96,6,96,7,96,2,3,10,1,4,2,96,10,5,2,2,5,2,96,1,5,0,3,1,10,5,7,0,2,2,6,4,96,96,4,5,2,4,96,5,6,2,4,4,3,3,2,96,96,96,10,4,1,99,13,3,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,8,2,6,6,2,5,5,2,2,2,2,1,8,1,4,4,1,3,4,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,75,1,1,1,1,1,5,1,5,1,1,1,1,40,99,2,2,7,7,6,3,6,4,4,4,5,4,6,5,1,1,1,1,5,2,4,1,5,1,1,1,5,1,1,5,5,5,5,5,1,1,1,6,7,7,1,3,1,2,1,6,12,9999,999,999,3500,999,3,2,3,9999,2,3,1,2,1,1,18,1,1941,2
115,15,11,2018,16,1,2,6,4,99,3,15,8,1,3,2,2,2,2,2,5,5,4,4,4,5,5,4,4,2,2,1,1,1,1,3,5,99,4,1,9,1,2,1504,1504,1505,1516,1272,3,955,2,3,99,3,99,9999,9999,9999,9999,999,9999,999,5,4,0,8,96,96,7,3,96,96,96,96,96,10,3,8,96,96,5,96,5,5,5,3,96,96,96,96,4,0,4,7,0,6,10,3,2,3,4,5,3,96,2,96,5,3,96,96,5,0,3,96,96,5,4,96,96,96,96,96,10,3,4,96,96,5,96,96,4,6,4,96,96,96,96,6,4,2,2,99,99,2,999,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,3,5,4,2,3,2,3,2,5,2,2,1,1,3,2,2,3,4,3,2,4,2,2,2,0,5,2,0,3,5,2,0,2,0,3,5,0,2,4,70,1,1,4,5,4,1,1,4,4,2,4,1,50,2,99,2,5,2,5,5,6,3,3,2,6,5,5,5,2,5,2,3,2,2,5,4,4,4,3,4,4,3,2,4,5,5,5,5,5,4,1,2,4,4,2,3,999,2,2,3,11,9999,999,999,1909,999,3,5,5,1,8,2,1,2,1,4,28,5,2002,2
116,15,11,2018,61,6,2,2,11,4,3,15,8,1,4,3,2,4,1,4,2,1,2,1,1,2,1,2,1,1,3,1,1,1,1,3,5,99,3,1,5,1,1,9998,1504,9998,9998,9998,3,9998,3,1,98,1,98,9998,9998,9998,9998,3,9998,3,4,3,4,3,96,96,6,96,3,2,98,96,3,4,96,3,96,96,3,96,96,96,96,2,96,96,96,96,6,3,5,3,6,5,6,5,96,6,5,5,6,6,0,3,2,5,5,5,2,6,7,6,96,5,5,96,6,7,96,96,4,5,4,96,5,3,3,3,7,96,96,6,6,3,4,95,4,2,1,13,2,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,5,2,5,4,4,3,6,5,4,6,0,0,3,70,1,2,1,5,1,1,1,1,1,1,1,1,50,99,1,2,9,9,9,8,6,6,8,8,6,8,8,5,1,1,5,1,1,8,1,5,1,1,1,1,1,3,1,5,5,5,5,5,5,1,2,2,7,4,1,3,4,2,2,1,12,9999,999,999,954,999,1,1,5,88,7,2,1,2,1,5,1,6,1957,2
117,15,11,2018,28,3,1,9,8,99,4,15,8,1,1,1,1,1,5,5,1,5,2,1,1,5,1,5,2,3,3,1,3,1,3,4,5,99,2,4,99,1,2,9999,1503,9999,9999,9999,999,9999,999,1,1,1,1,9970,9970,9970,9970,999,9970,999,5,5,0,2,2,2,2,2,2,2,2,96,2,2,2,2,2,2,2,2,2,2,96,2,2,2,2,2,4,0,0,0,0,7,10,4,1,4,3,98,0,0,4,98,0,0,0,0,0,0,98,96,98,98,98,98,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,7,2,2,2,99,99,1,13,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,6,6,5,1,6,2,1,1,1,4,2,4,4,4,2,1,4,4,1,0,4,10,0,0,10,10,10,10,0,7,5,2,3,0,1,6,1,1,1,5,1,1,1,1,5,5,1,1,20,2,99,2,10,10,6,1,98,98,99,1,10,10,10,5,1,3,1,1,5,5,5,5,8,1,1,1,5,3,1,5,5,5,5,5,1,4,1,5,1,4,2,3,999,2,2,4,2,1,3,1,1908,999,2,2,5,1,8,2,1,2,3,3,24,1,1990,2
118,15,11,2018,29,3,1,3,3,99,3,15,8,1,1,4,4,2,1,5,1,5,1,5,5,5,5,1,5,1,1,1,1,3,1,5,5,99,4,1,6,1,1,1503,1503,9998,9998,9998,3,9998,3,4,99,4,99,9999,9999,9999,9999,999,9999,999,5,5,7,96,96,96,3,96,96,96,96,96,96,96,96,96,96,96,98,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,10,4,96,5,96,96,96,96,96,96,96,3,96,96,5,7,96,96,96,5,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,10,4,2,2,99,99,2,999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,4,2,2,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,70,2,2,1,1,5,1,5,5,5,1,1,1,50,99,2,1,10,5,5,5,8,8,10,5,5,10,8,1,5,1,4,1,5,5,5,5,4,1,1,5,1,3,1,5,5,5,5,5,1,4,2,2,3,3,2,4,999,2,1,2,3,5,2,1,1908,999,2,4,3,9999,9,2,1,2,1,3,22,11,1989,2
119,15,11,2018,37,4,2,7,8,99,1,15,8,1,4,3,3,1,1,5,1,1,1,4,1,5,4,5,5,1,2,1,1,1,1,5,5,99,5,5,99,5,99,9999,9999,9999,9999,9999,999,9999,999,1,2,1,2,9998,9998,9998,9998,3,9998,3,3,1,0,0,0,0,0,96,96,0,96,96,96,0,96,0,96,0,0,96,1,0,96,0,96,96,96,96,1,96,96,3,3,96,2,1,0,2,96,96,4,96,96,96,1,1,96,0,0,98,98,98,98,98,98,96,98,98,96,96,96,96,98,96,98,98,96,98,98,98,96,98,96,98,96,95,4,2,2,99,99,2,999,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,5,2,2,5,5,2,2,6,5,1,1,2,2,2,4,4,4,3,3,4,4,2,0,0,0,0,0,0,1,1,0,10,10,8,8,5,1,2,998,2,2,2,2,4,1,4,5,5,5,5,1,998,1,99,2,4,3,3,2,2,1,2,1,1,1,3,5,1,1,1,5,1,4,5,5,5,1,5,1,2,3,1,2,4,5,5,2,2,4,2,2,4,5,2,4,999,2,2,1,2,1,3,2,1908,999,2,1,5,90,8,2,1,2,1,4,7,4,1981,2
120,15,11,2018,35,4,2,5,11,1,1,15,8,1,4,2,3,2,1,5,3,1,8,2,3,3,8,5,5,1,4,1,2,1,2,5,5,99,5,1,97,1,97,1503,1503,1507,1516,948,1,9998,3,1,2,1,1,1502,1502,9998,9998,3,9998,3,5,3,1,96,6,96,5,96,96,5,4,96,96,4,96,5,96,96,5,96,96,5,6,3,3,96,96,96,5,5,4,6,5,4,5,5,96,10,96,96,5,96,5,96,2,3,96,96,0,98,98,98,96,98,98,96,98,98,98,96,98,98,96,96,98,98,98,98,96,98,98,98,96,98,98,5,3,2,2,99,99,2,999,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,9,2,2,8,8,8,8,5,2,3,6,2,1,1,1,1,1,2,2,2,8,2,3,1,1,0,0,3,3,5,3,5,98,0,0,5,3,5,0,0,3,40,1,1,1,3,8,2,1,5,1,2,5,1,25,99,1,2,7,6,3,4,4,5,4,4,4,5,5,5,1,5,5,1,1,8,8,8,1,8,4,1,8,3,1,5,1,5,5,5,8,4,2,2,97,97,2,5,999,1,1,2,11,9999,999,999,954,999,1,5,98,9999,8,2,1,2,1,6,31,10,1983,2
121,16,11,2018,18,2,1,5,2,99,1,15,8,1,2,3,3,4,5,5,4,4,1,1,4,4,4,2,1,1,2,1,1,3,3,5,5,99,3,1,9,1,2,1503,1503,1514,1514,9998,3,1103,1,3,99,3,99,9999,9999,9999,9999,999,9999,999,5,3,7,3,9,5,2,3,3,2,7,6,6,2,5,9,4,6,5,8,1,9,8,3,9,8,5,5,5,1,5,10,10,2,10,0,0,10,2,1,0,0,0,5,5,10,2,1,10,10,10,10,0,10,0,0,1,0,6,1,10,10,9,0,0,9,9,10,9,5,0,10,9,0,0,10,4,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,2,2,5,5,2,2,2,2,4,1,3,4,4,4,3,4,3,4,4,3,2,9,10,9,5,10,9,10,0,5,0,5,0,10,10,10,10,998,1,2,1,1,2,2,2,2,2,4,4,3,998,2,99,2,10,5,1,2,7,5,1,1,5,10,5,1,4,2,4,1,4,4,4,4,2,2,4,2,4,5,1,4,1,4,2,2,4,1,2,1,4,2,2,3,999,1,1,2,4,998,3,2,1908,999,2,3,5,1,8,2,1,2,1,4,13,3,2000,2
122,16,11,2018,52,5,2,2,11,10,4,15,8,1,2,7,4,4,1,2,4,1,4,4,3,4,8,8,7,1,1,3,1,1,3,4,1,17,4,1,9,5,99,1504,9999,9998,9998,9998,3,9998,3,1,1,98,99,1505,9999,9998,9998,3,9998,3,4,3,2,3,4,5,3,96,96,96,96,96,96,96,3,6,96,96,8,3,96,4,96,4,3,96,96,96,5,96,96,5,5,4,10,6,96,5,96,96,5,96,96,96,6,2,96,5,3,5,3,5,96,3,96,96,96,96,96,96,4,96,96,96,96,3,3,96,96,96,2,96,96,96,96,5,4,2,2,99,99,2,999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,1,3,1,3,3,3,3,3,3,3,3,1,1,10,10,5,7,8,9,8,7,5,4,5,98,8,6,8,9,998,1,1,1,5,2,1,8,5,9,3,4,1,50,99,3,2,9,7,8,6,98,98,5,7,8,6,9,4,2,4,1,3,1,3,4,5,8,4,3,1,3,5,2,5,5,1,5,3,3,4,1,1,7,7,2,5,999,2,1,3,14,9999,999,999,250,999,1,1,3,9999,5,1,1,2,1,2,12,6,1966,2
123,16,11,2018,25,3,2,6,4,99,3,15,8,1,3,3,3,4,5,5,4,4,1,4,5,5,1,5,4,4,3,1,1,1,2,2,5,99,3,1,9,1,2,1502,1503,1510,1507,9998,3,9998,3,4,99,1,1,9999,1502,9999,9999,999,9999,999,3,5,6,6,96,7,4,96,96,7,8,6,96,4,96,5,96,6,96,4,4,96,96,6,7,96,7,6,5,5,7,4,6,7,7,7,5,6,8,6,6,4,5,96,6,7,96,5,7,7,4,6,7,7,96,3,6,8,96,6,5,96,4,7,5,5,8,6,4,7,4,96,96,5,7,5,4,2,2,99,99,2,999,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,5,2,5,2,2,2,5,2,3,1,3,3,1,1,3,3,1,1,3,1,1,4,5,5,4,5,5,5,6,6,5,5,4,4,5,5,4,75,1,1,2,5,2,5,2,5,1,5,4,1,11,1,99,2,7,7,5,5,4,5,5,4,6,6,5,5,1,4,5,5,1,2,4,4,5,2,1,1,2,1,1,4,5,4,5,5,4,3,2,1,1,2,1,4,3,2,1,1,3,5,3,1,1908,999,2,1,5,1,8,2,1,2,1,3,3,6,1993,2
124,16,11,2018,62,6,1,1,6,99,3,15,8,1,1,1,2,5,5,4,4,1,2,5,1,2,5,5,5,1,4,1,4,1,2,5,5,99,5,1,9,1,2,1503,1503,1516,1507,1191,1,947,1,1,1,1,1,1502,1502,1508,944,1,947,1,3,5,4,9,3,0,7,0,0,2,0,0,0,9,4,4,0,0,5,0,3,5,0,2,6,2,0,0,10,0,0,4,4,8,10,7,0,6,4,5,0,5,0,0,8,3,6,8,7,4,10,6,4,7,3,0,1,0,0,0,6,0,4,0,2,6,3,4,4,4,4,5,3,0,0,98,2,1,99,15,7,2,999,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,6,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,4,5,3,4,4,5,6,6,2,4,5,4,3,4,3,72,1,1,1,2,1,1,1,5,5,1,1,1,20,3,99,2,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,1,5,5,5,5,5,1,4,1,2,4,7,1,4,3,2,2,2,3,5,3,1,1908,999,2,2,5,90,2,3,1,2,1,3,22,3,1956,2
125,16,11,2018,19,2,2,4,6,99,1,15,8,1,4,3,3,2,1,5,1,2,1,2,5,5,2,4,4,1,2,1,2,1,2,5,5,99,4,5,99,1,2,9999,1504,9999,9999,9999,999,9999,999,3,99,3,99,9999,9999,9999,9999,999,9999,999,2,4,1,96,4,96,3,96,96,96,96,96,96,96,96,2,96,96,5,96,96,5,96,96,3,96,96,96,7,0,96,5,0,0,5,96,0,5,96,96,96,0,96,96,2,5,96,96,2,0,96,0,96,10,0,0,96,96,96,96,10,96,0,96,96,0,96,10,10,96,10,0,0,96,96,10,4,2,2,99,99,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,8,2,2,5,8,2,2,5,2,3,1,1,3,3,3,4,4,2,3,4,2,1,0,2,5,5,6,3,8,9,4,2,5,5,10,3,3,4,998,1,1,1,4,1,1,1,4,1,1,1,1,25,2,99,1,8,6,8,5,4,4,5,5,5,5,5,5,1,2,5,1,2,3,5,5,2,2,3,1,3,3,1,5,5,5,5,5,1,4,2,6,1,2,2,4,999,1,1,3,2,2,3,1,954,999,1,3,5,8,9,1,1,2,1,7,9,10,1999,2
126,16,11,2018,47,5,1,5,10,99,4,15,8,1,4,3,3,5,4,5,1,5,1,1,4,1,1,4,4,1,2,1,1,1,1,5,1,13,5,1,5,1,1,9998,1503,9998,9998,9998,3,9998,3,1,2,1,2,9998,1502,9998,9998,3,9998,3,5,5,10,0,98,96,97,96,97,0,5,0,97,97,98,97,96,98,98,98,98,98,97,98,96,96,97,97,5,0,0,2,5,5,10,5,0,10,0,0,96,96,0,96,5,10,96,0,5,10,10,10,0,10,0,0,0,0,0,0,10,10,10,0,0,10,0,10,10,10,0,10,0,10,0,10,4,2,1,13,2,1,99,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,6,1,1,1,6,4,1,2,1,1,1,1,3,1,1,4,4,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,998,8,1,1,1,1,1,1,4,1,1,2,1,50,99,1,2,10,10,10,10,5,5,2,10,5,5,10,4,1,4,4,5,5,8,1,4,4,2,4,1,5,3,8,2,2,2,2,2,1,1,2,10,999,7,1,4,6,1,2,3,10,9999,999,999,954,999,1,6,3,9999,8,1,1,2,1,2,14,2,1971,2
127,12,11,2018,41,4,2,3,11,5,3,15,9,1,8,3,2,4,5,5,5,2,2,1,1,4,8,8,4,3,8,3,4,9,5,8,8,99,4,1,5,1,2,1503,1503,9960,9960,2026,1,9960,4,1,98,98,99,9998,9999,9998,9998,3,9998,3,2,2,10,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,5,96,96,96,3,96,10,96,96,8,96,96,96,96,96,96,96,96,96,96,96,9,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,10,4,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,5,6,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,0,10,0,0,0,0,10,0,0,0,0,10,10,10,10,10,998,8,8,4,2,4,4,2,4,1,4,4,1,998,1,99,2,10,10,10,10,8,10,10,5,10,10,10,2,5,4,2,4,4,5,5,2,4,5,4,5,4,8,8,8,5,1,2,5,8,4,1,2,4,4,1,98,5,1,2,2,16,9999,999,999,9999998,1,1,2,5,19,5,2,1,2,1,5,26,3,1977,2
128,12,11,2018,32,3,2,6,8,99,1,15,9,1,3,3,2,1,1,4,1,4,4,1,2,2,5,2,1,1,1,1,3,3,2,3,1,97,3,1,9,1,2,1503,1504,1515,9997,9998,3,834,3,1,2,1,1,9970,1505,1507,835,3,9998,3,4,5,2,3,3,3,6,2,1,5,0,2,1,4,3,2,96,2,3,1,2,3,1,3,4,2,1,2,5,4,2,3,2,3,6,3,0,3,2,3,2,1,1,0,2,4,0,6,4,3,2,3,3,4,2,3,2,2,3,0,2,3,4,2,2,4,4,3,1,4,3,3,2,3,1,8,2,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,5,2,2,2,1,4,1,1,1,3,3,3,3,3,1,3,3,1,7,6,4,6,6,4,5,7,3,3,4,3,3,4,3,5,998,1,1,2,5,2,2,4,4,1,2,2,1,20,99,1,1,6,8,7,8,6,4,6,5,5,6,7,5,2,2,2,4,4,2,4,2,4,4,4,4,1,1,2,1,1,2,2,1,4,4,2,2,1,5,2,5,999,1,1,1,4,1,3,2,954,999,1,1,5,9,8,2,1,2,1,5,30,11,1986,2
129,12,11,2018,31,3,2,1,11,5,1,15,9,1,2,1,2,2,5,2,2,1,2,4,1,2,1,1,4,1,1,1,1,4,2,2,5,99,2,1,9,1,2,9997,9998,9998,9998,537,2,9998,3,1,98,1,2,9998,9998,9998,9998,3,9998,3,5,1,96,96,96,96,96,96,96,10,96,10,96,96,0,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,10,96,96,10,96,96,10,96,96,96,96,10,96,10,10,96,96,10,96,96,98,96,96,96,96,96,96,96,96,96,96,98,96,96,96,96,96,96,96,96,96,96,96,96,10,4,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,1,8,1,8,2,1,1,1,8,1,3,3,3,3,3,3,3,1,0,10,0,10,10,0,10,10,0,0,10,10,10,10,10,10,998,8,8,8,4,8,8,4,4,5,4,4,3,998,1,99,2,10,10,10,10,10,10,10,10,10,10,10,1,4,5,4,5,4,4,4,1,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,2,4,14,2,2,999,1,1,2,14,9999,999,999,500,999,1,6,3,9999,8,2,1,2,1,5,11,7,1987,2
130,13,11,2018,19,2,2,5,11,10,4,15,9,1,3,3,2,1,1,4,1,5,1,4,2,5,2,5,4,1,2,1,3,3,3,4,1,17,3,1,9,1,2,9998,9998,9998,9998,194,2,9998,3,3,99,3,99,9999,9999,9999,9999,999,9999,999,5,5,0,96,0,96,10,0,96,96,96,96,96,10,96,0,96,96,96,96,96,0,96,96,0,0,96,96,0,0,0,10,10,0,10,10,0,0,10,96,0,96,0,96,0,0,0,96,0,0,96,0,96,0,0,96,96,96,96,0,10,96,0,96,96,96,96,96,0,0,96,0,0,96,10,10,3,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,5,2,1,2,5,2,4,1,1,3,1,3,3,3,1,3,3,1,1,10,0,0,0,0,10,10,10,0,0,0,0,10,0,0,10,998,1,2,2,1,1,4,1,2,2,1,4,4,15,99,2,2,10,10,10,10,1,10,1,10,10,10,10,4,1,2,2,1,2,2,2,4,4,4,2,1,4,1,1,2,2,4,4,4,1,4,1,5,1,5,2,2,999,1,2,2,14,9999,999,999,9999998,2,2,1,5,1,8,2,1,2,1,4,2,4,1999,2
131,13,11,2018,21,2,2,6,6,99,1,15,9,1,3,1,3,1,1,5,1,2,2,2,2,2,3,4,4,1,2,1,1,1,2,3,5,99,5,1,9,1,2,1503,1503,1507,9998,9998,3,833,1,3,99,3,99,9999,9999,9999,9999,999,9999,999,4,5,3,5,96,3,96,96,96,6,96,96,96,96,96,6,96,96,3,96,96,3,96,96,96,96,96,96,5,0,96,96,3,4,9,4,96,5,96,96,96,96,96,96,4,4,96,96,4,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,10,5,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,4,3,3,2,2,6,2,2,2,2,2,2,2,3,3,2,2,3,2,8,7,3,3,3,4,7,8,7,5,5,5,5,5,7,3,3,80,8,8,2,1,1,3,2,3,4,3,4,1,50,5,99,2,5,5,5,5,4,4,4,1,5,5,5,5,8,3,5,8,3,3,3,4,3,4,1,5,8,8,1,5,5,5,5,5,8,4,2,2,1,12,1,3,4,1,1,3,6,5,3,2,1908,999,2,1,3,9999,7,1,1,2,1,9,3,4,1997,2
